"","target.priority","altitude..hundreds.of.feet."
"1173","1",107
"1174","1",104
"1175","1",1
"1176","1",1
"1177","1",1
"1178","1",1
"1179","1",1
"1180","1",1
"1181","1",1
"1182","1",1
"1183","1",1
"1184","1",1
"1185","1",1
"1186","1",60
"1187","1",125
"1188","1",120
"1189","2",105
"1190","1",15
"1191","1",139
"1192","1",139
"1193","1",75
"1194","1",139
"1195","1",115
"1196","1",139
"1197","1",20
"1198","1",50
"1199","1",70
"1200","1",1
"1201","1",70
"1202","1",60
"1203","1",150
"1206","1",134
"1207","1",120
"1208","1",120
"1209","1",90
"1210","1",90
"1212","1",108
"1213","1",108
"1214","1",104
"1215","1",104
"1216","1",101
"1217","1",101
"1218","1",101
"1219","1",101
"1220","1",75
"1221","1",75
"1222","1",75
"1223","1",75
"1224","1",75
"1225","1",75
"1226","1",139
"1227","1",139
"1228","1",60
"1229","1",60
"1230","1",120
"1231","2",52
"1232","1",1
"1233","1",139
"1234","1",75
"1235","1",1
"1236","1",100
"1239","1",100
"1242","1",224
"1243","1",224
"1244","1",218
"1245","1",218
"1246","1",218
"1247","1",211
"1248","1",211
"1249","1",211
"1250","1",210
"1251","1",210
"1252","1",210
"1253","2",205
"1254","2",205
"1255","2",205
"1256","2",200
"1257","2",200
"1258","2",200
"1259","1",200
"1260","1",200
"1261","1",200
"1262","1",200
"1263","1",200
"1264","1",200
"1265","1",120
"1266","1",120
"1267","1",110
"1268","1",110
"1269","1",139
"1270","1",139
"1271","1",139
"1272","1",245
"1273","1",245
"1274","1",245
"1275","1",245
"1276","1",245
"1277","1",245
"1278","1",238
"1279","1",238
"1280","1",238
"1281","1",230
"1282","1",230
"1283","1",230
"1284","1",228
"1285","1",228
"1286","1",228
"1287","1",198
"1288","1",198
"1289","1",198
"1290","1",198
"1291","1",198
"1292","1",198
"1293","1",198
"1294","1",198
"1295","1",198
"1296","1",198
"1297","1",198
"1298","1",198
"1299","1",109
"1300","1",109
"1316","1",40
"1317","1",40
"1330","1",255
"1331","1",255
"1332","1",255
"1333","1",240
"1334","1",240
"1335","1",240
"1336","1",230
"1337","1",230
"1338","1",230
"1339","1",230
"1340","1",230
"1341","1",230
"1342","1",225
"1343","1",225
"1344","1",225
"1345","1",225
"1346","1",225
"1347","1",225
"1348","1",223
"1349","1",223
"1350","1",223
"1351","2",220
"1352","2",220
"1353","2",220
"1354","1",201
"1355","1",201
"1356","1",200
"1357","1",200
"1358","1",180
"1359","1",180
"1360","2",268
"1361","2",250
"1362","2",228
"1363","1",224
"1364","1",104
"1365","1",104
"1366","1",92
"1367","1",92
"1368","1",104
"1369","1",104
"1370","1",40
"1371","1",8
"1372","1",8
"1373","1",139
"1374","1",8
"1375","1",139
"1376","1",139
"1377","1",139
"1378","1",115
"1379","1",105
"1380","1",100
"1381","1",95
"1382","1",33
"1383","1",1
"1384","1",10
"1385","1",10
"1386","3",1
"1387","1",5
"1388","1",1
"1389","1",1
"1390","1",139
"1391","1",139
"1392","1",139
"1393","2",110
"1394","1",100
"1395","1",90
"1396","1",100
"1397","1",25
"1398","1",85
"1399","1",30
"1400","1",132
"1401","3",90
"1402","1",70
"1403","1",15
"1404","1",20
"1405","1",30
"1406","1",20
"1407","2",3
"1408","3",1
"1409","1",139
"1410","1",139
"1411","1",210
"1412","2",90
"1413","1",40
"1414","1",30
"1415","1",15
"1416","1",15
"1417","1",15
"1418","1",15
"1419","1",12
"1420","1",5
"1421","1",20
"1422","1",20
"1423","1",20
"1424","1",20
"1425","1",20
"1426","1",20
"1427","1",20
"1428","1",20
"1429","1",15
"1430","1",15
"1431","1",139
"1432","1",139
"1433","1",212
"1434","1",60
"1435","1",50
"1436","1",30
"1437","1",20
"1438","1",15
"1439","1",15
"1440","1",139
"1443","1",40
"1444","1",139
"1445","1",139
"1446","1",139
"1447","1",260
"1448","3",220
"1449","1",99
"1450","1",93
"1451","1",30
"1452","1",30
"1453","1",258
"1454","1",258
"1455","1",258
"1456","1",258
"1457","2",225
"1458","1",139
"1459","1",139
"1460","3",139
"1461","3",139
"1462","3",139
"1463","3",139
"1464","1",273
"1465","1",265
"1466","1",260
"1467","1",250
"1468","1",247
"1469","2",240
"1470","3",230
"1471","1",230
"1472","2",240
"1473","2",236
"1474","2",230
"1475","2",230
"1476","2",230
"1477","2",230
"1478","2",230
"1479","2",223
"1480","3",223
"1481","2",220
"1482","4",220
"1483","4",218
"1484","4",215
"1485","2",213
"1486","2",206
"1487","3",205
"1488","2",139
"1489","2",139
"1490","2",139
"1491","2",139
"1492","2",139
"1493","2",139
"1494","2",139
"1495","2",139
"1496","2",139
"1497","2",139
"1498","2",139
"1499","4",139
"1501","1",105
"1502","1",105
"1503","1",105
"1504","1",105
"1505","1",104
"1506","1",104
"1507","1",101
"1508","1",101
"1509","1",100
"1510","1",100
"1511","1",97
"1512","1",97
"1513","1",90
"1514","1",90
"1515","1",85
"1516","1",85
"1517","1",84
"1518","1",84
"1519","1",12
"1520","1",12
"1521","1",245
"1522","1",245
"1523","1",245
"1524","1",245
"1525","1",245
"1526","1",245
"1527","1",245
"1528","1",240
"1529","1",240
"1530","1",240
"1531","1",237
"1532","1",235
"1533","1",230
"1534","1",230
"1535","1",230
"1536","1",230
"1537","1",230
"1538","1",230
"1539","1",228
"1540","1",227
"1541","1",225
"1542","1",220
"1543","1",220
"1544","1",220
"1545","1",220
"1546","1",220
"1547","1",220
"1548","1",200
"1549","1",15
"1550","1",8
"1551","1",20
"1552","1",170
"1553","1",150
"1554","1",100
"1555","1",80
"1556","1",1
"1558","1",165
"1559","1",15
"1560","1",15
"1561","1",18
"1562","1",18
"1563","1",12
"1564","1",10
"1565","1",118
"1566","1",118
"1567","1",110
"1568","2",110
"1569","1",110
"1570","2",110
"1571","1",100
"1572","1",100
"1573","1",80
"1574","1",80
"1575","1",75
"1576","1",75
"1577","1",75
"1578","1",75
"1579","1",75
"1580","1",75
"1581","1",88
"1582","1",65
"1583","1",40
"1584","1",30
"1585","1",30
"1586","1",66
"1587","1",30
"1588","1",139
"1589","1",30
"1590","1",60
"1592","1",63
"1593","1",201
"1594","1",201
"1595","1",201
"1596","1",201
"1597","1",230
"1598","1",230
"1599","1",230
"1600","1",230
"1601","1",129
"1602","1",66
"1603","1",20
"1604","1",140
"1605","1",1
"1606","2",139
"1607","1",145
"1608","1",90
"1609","1",139
"1610","1",139
"1611","1",139
"1612","1",65
"1613","1",25
"1614","1",139
"1615","2",83
"1616","1",89
"1617","1",8
"1618","1",2
"1619","1",139
"1620","1",139
"1621","1",132
"1622","1",43
"1623","1",40
"1624","1",40
"1625","1",4
"1626","1",139
"1627","1",139
"1628","1",50
"1629","1",25
"1630","1",20
"1631","1",139
"1632","1",80
"1634","1",139
"1635","1",253
"1636","1",253
"1637","1",253
"1638","1",252
"1639","1",252
"1640","1",252
"1641","1",249
"1642","1",249
"1643","1",249
"1644","1",249
"1645","1",249
"1646","1",249
"1647","1",248
"1648","1",248
"1649","1",248
"1650","1",246
"1651","1",246
"1652","1",246
"1653","1",243
"1654","1",243
"1655","1",243
"1656","1",139
"1657","1",139
"1658","1",139
"1659","1",277
"1660","1",277
"1661","1",277
"1662","1",269
"1663","1",269
"1664","1",269
"1665","1",268
"1666","1",268
"1667","1",268
"1668","1",267
"1669","1",267
"1670","1",265
"1671","1",265
"1672","1",265
"1673","1",265
"1674","1",265
"1675","1",265
"1676","1",263
"1677","1",263
"1678","1",263
"1679","1",262
"1680","1",262
"1681","1",260
"1682","1",260
"1683","1",260
"1684","1",260
"1685","1",260
"1686","1",260
"1687","1",259
"1688","1",259
"1689","1",259
"1690","1",258
"1691","1",258
"1692","1",258
"1693","1",255
"1694","1",255
"1695","1",255
"1696","1",255
"1697","1",255
"1698","1",255
"1699","1",255
"1700","1",255
"1702","3",139
"1703","3",139
"1704","3",139
"1705","3",139
"1706","3",139
"1707","3",139
"1708","3",139
"1710","1",255
"1711","2",230
"1712","3",225
"1713","1",215
"1714","1",215
"1715","1",215
"1716","1",215
"1717","3",200
"1724","2",139
"1732","3",139
"1733","3",139
"1734","1",225
"1735","1",225
"1736","2",220
"1737","2",220
"1738","1",212
"1739","1",212
"1740","1",210
"1741","1",210
"1742","1",195
"1743","1",195
"1744","3",139
"1745","1",130
"1746","1",130
"1747","1",120
"1748","1",120
"1749","1",115
"1750","1",115
"1751","1",110
"1752","1",110
"1753","2",105
"1754","2",105
"1755","1",105
"1756","1",105
"1757","1",139
"1758","1",139
"1759","1",139
"1760","1",139
"1761","2",139
"1762","2",139
"1763","1",139
"1764","1",139
"1765","1",139
"1766","1",139
"1767","1",220
"1768","1",220
"1769","1",220
"1770","1",220
"1771","3",139
"1772","3",139
"1776","1",1
"1777","1",1
"1778","1",48
"1779","1",2
"1780","2",139
"1781","1",110
"1782","1",110
"1783","1",105
"1784","1",105
"1785","3",100
"1786","1",100
"1787","1",90
"1788","1",50
"1789","1",50
"1790","1",50
"1791","1",50
"1792","1",49
"1793","1",1
"1794","1",172
"1795","1",130
"1796","1",100
"1797","1",80
"1798","1",139
"1799","1",15
"1800","1",104
"1801","1",230
"1802","1",230
"1803","1",230
"1804","1",228
"1805","1",225
"1806","1",225
"1807","1",225
"1808","1",225
"1809","1",224
"1810","1",224
"1811","1",220
"1812","1",220
"1813","1",220
"1814","1",220
"1815","1",220
"1816","1",220
"1817","1",220
"1818","1",215
"1819","1",215
"1820","1",215
"1821","1",213
"1822","1",210
"1823","1",210
"1824","1",210
"1825","1",108
"1826","1",108
"1827","1",108
"1828","1",108
"1829","1",104
"1830","1",104
"1831","1",100
"1832","1",100
"1833","1",90
"1834","1",90
"1835","1",6
"1836","1",167
"1837","1",1
"1838","1",139
"1840","1",80
"1841","1",75
"1842","1",90
"1843","1",20
"1844","1",18
"1845","1",170
"1846","1",15
"1847","1",161
"1850","1",120
"1851","1",120
"1862","4",290
"1871","1",115
"1872","1",115
"1873","1",105
"1874","1",105
"1875","1",105
"1876","1",105
"1877","1",100
"1878","1",100
"1879","1",90
"1880","1",90
"1881","1",139
"1882","1",139
"1883","1",220
"1884","1",100
"1885","1",30
"1886","1",40
"1890","1",70
"1891","1",139
"1892","1",80
"1893","2",139
"1894","1",180
"1895","1",160
"1896","1",150
"1897","2",100
"1898","1",62
"1901","1",255
"1902","1",254
"1903","1",254
"1904","1",254
"1905","1",253
"1906","1",253
"1907","1",253
"1908","1",253
"1909","1",253
"1910","1",253
"1911","1",253
"1912","1",253
"1913","1",252
"1914","1",252
"1915","1",252
"1916","1",250
"1917","1",250
"1918","1",250
"1919","1",250
"1920","1",250
"1921","1",250
"1922","1",250
"1923","1",250
"1924","1",250
"1925","1",250
"1926","1",250
"1927","1",250
"1928","1",250
"1929","1",250
"1930","1",250
"1931","1",250
"1932","1",250
"1933","1",250
"1934","1",248
"1935","1",248
"1936","1",248
"1937","1",246
"1938","1",246
"1939","1",246
"1940","1",245
"1941","1",245
"1942","1",245
"1943","1",245
"1944","1",245
"1945","1",245
"1946","1",245
"1947","1",245
"1948","1",245
"1949","1",243
"1950","1",243
"1951","1",243
"1952","1",242
"1953","1",242
"1954","1",242
"1955","1",241
"1956","1",241
"1957","1",240
"1958","1",240
"1959","1",240
"1960","1",240
"1961","1",240
"1962","1",240
"1963","1",240
"1964","1",240
"1965","1",236
"1966","1",236
"1967","1",236
"1968","1",235
"1969","1",235
"1970","1",235
"1971","1",234
"1972","1",234
"1973","1",234
"1974","1",231
"1975","1",231
"1976","1",231
"1977","1",231
"1978","1",231
"1979","1",227
"1980","1",227
"1981","1",227
"2001","2",1
"2002","1",1
"2003","1",1
"2004","1",1
"2005","1",1
"2006","1",1
"2007","1",1
"2008","1",1
"2009","1",1
"2010","1",1
"2011","1",1
"2012","1",1
"2013","1",1
"2014","1",48
"2016","3",65
"2017","1",3
"2018","2",3
"2019","1",120
"2020","1",115
"2021","1",125
"2022","1",1
"2023","1",1
"2024","3",1
"2025","1",80
"2026","1",90
"2027","1",20
"2028","1",15
"2029","1",3
"2031","4",185
"2032","4",185
"2033","4",185
"2034","4",185
"2035","1",80
"2036","1",1
"2037","1",1
"2038","1",20
"2039","4",105
"2040","1",103
"2041","1",20
"2042","1",60
"2043","1",15
"2044","1",15
"2045","1",1
"2046","1",35
"2047","1",15
"2048","1",15
"2049","1",15
"2050","1",15
"2051","1",15
"2052","1",15
"2053","1",15
"2054","1",15
"2055","1",15
"2056","1",20
"2057","1",20
"2058","1",15
"2059","3",1
"2060","1",10
"2061","1",1
"2062","1",139
"2063","1",139
"2065","1",40
"2066","1",139
"2067","2",139
"2068","2",275
"2069","2",272
"2070","2",265
"2071","2",258
"2072","4",250
"2073","4",250
"2074","4",250
"2075","2",245
"2076","1",240
"2077","3",230
"2078","3",142
"2079","3",142
"2080","3",142
"2081","3",142
"2082","3",142
"2083","3",142
"2084","1",125
"2085","1",125
"2086","1",249
"2087","1",285
"2088","1",275
"2089","1",265
"2090","1",260
"2091","1",245
"2094","1",248
"2095","1",248
"2096","1",248
"2108","1",90
"2109","1",90
"2110","1",85
"2111","1",85
"2112","1",83
"2113","1",83
"2114","1",83
"2115","1",83
"2116","1",83
"2117","1",83
"2118","1",80
"2119","1",80
"2120","1",80
"2121","1",80
"2122","1",240
"2123","1",235
"2124","1",230
"2125","1",230
"2126","1",222
"2127","1",220
"2128","1",220
"2129","1",220
"2130","1",139
"2131","1",2
"2132","1",165
"2133","1",180
